date,period,food_inflation,nonfood_inflation,services_inflation,aggregate_inflation,aggregate_inflation_rosstat,aggregate_inflation_cbr,inflation_target,key_rate,real_expected_inflation,real_perceived_inflation,wciom_perceived_index,wciom_expected_index,food_inflation_mom,nonfood_inflation_mom,services_inflation_mom,aggregate_inflation_rosstat_mom
2016-01-01,0,0.09170255622712253,0.10852039453372542,0.08981193007257526,0.09766088786056915,0.09766088786056915,0.098,0.04,0.11,0.16714285714285715,0.20545454545454547,,,0.011900000000000022,0.006699999999999928,0.010299999999999976,0.009599999999999831
2016-02-01,1,0.06411669436486345,0.09461772840592664,0.08451580941666337,0.0805871174467725,0.0805871174467725,0.081,0.04,0.11,0.1574,0.2109,,,0.006800000000000139,0.007800000000000029,0.0034000000000000696,0.006299999999999972
2016-03-01,2,0.05185897523119265,0.08792677906538016,0.081812898915675,0.07257960496692761,0.07257960496692761,0.073,0.04,0.11,0.1474,0.1892,,,0.0040000000000000036,0.008099999999999996,0.0005999999999999339,0.0045999999999999375
2016-04-01,3,0.052802534563105796,0.08490715676028171,0.08430057104875388,0.07236607130079875,0.07236607130079875,0.073,0.04,0.11,0.14598699999999998,0.185355,,,0.0041999999999999815,0.006000000000000005,0.0024999999999999467,0.0043999999999999595
2016-05-01,4,0.055958732828010005,0.08361226061137317,0.08386900863241675,0.07300724682922977,0.07300724682922977,0.073,0.04,0.11,0.136,0.185,,,0.0037000000000000366,0.0041999999999999815,0.0045999999999999375,0.0040999999999999925
2016-06-01,5,0.062004905381620734,0.08501632314381102,0.07946783706126381,0.07482789990798944,0.07482789990798944,0.075,0.04,0.105,0.141881,0.192315,,,0.0012000000000000899,0.0045999999999999375,0.005600000000000049,0.0036000000000000476
2016-07-01,6,0.06445412956930485,0.08415219864553869,0.06531947220657708,0.07205552635663959,0.07205552635663959,0.07200000000000001,0.04,0.105,0.142875,0.18580100000000002,,,-0.00040000000000006697,0.0037000000000000366,0.01649999999999996,0.005400000000000071
2016-08-01,7,0.06520419791105891,0.08049352125060572,0.05543105210314914,0.06842325053241205,0.06842325053241205,0.069,0.04,0.105,0.125623,0.16538799999999998,,,-0.005900000000000016,0.0040999999999999925,0.0033000000000000806,9.999999999998899e-05
2016-09-01,8,0.059264003220457884,0.07482865265566208,0.05616970610882066,0.06417377951508141,0.06417377951508141,0.064,0.04,0.1,0.142065,0.17383500000000002,,,-0.0013999999999999568,0.005600000000000049,0.0009000000000001229,0.0017000000000000348
2016-10-01,9,0.056538264494831125,0.06993339344554705,0.05437260021312951,0.060899073622191935,0.060899073622191935,0.061,0.04,0.1,0.123462,0.150854,,80.58510638297872,0.007800000000000029,0.005400000000000071,-0.0026000000000000467,0.0042999999999999705
2016-11-01,10,0.051942803478839394,0.06674685499589339,0.05310937425440754,0.05763476878027762,0.05763476878027762,0.057999999999999996,0.04,0.1,0.13677377999999998,0.17198924999999998,,82.18085106382979,0.007200000000000095,0.0042999999999999705,0.00039999999999995595,0.0043999999999999595
2016-12-01,11,0.04570475562266951,0.06536602166770922,0.049133402448976016,0.05375142190671722,0.05375142190671722,0.054000000000000006,0.04,0.1,0.12352600000000001,0.147529,,82.44680851063829,0.005800000000000027,0.0029999999999998916,0.0026999999999999247,0.0040000000000000036
2017-01-01,12,0.042191171109261516,0.06324947051708274,0.04373352746853976,0.050202734471611166,0.050202734471611166,0.05,0.04,0.1,0.114855,0.13982799999999998,,,0.008499999999999952,0.0046999999999999265,0.0051000000000001044,0.006199999999999983
2017-02-01,13,0.03722244085367499,0.057130352707002396,0.043109409353649264,0.04592386016838823,0.04592386016838823,0.046,0.04,0.1,0.128791,0.150564,,,0.0020000000000000018,0.0020000000000000018,0.0027999999999999137,0.0021999999999999797
2017-03-01,14,0.03453640664429303,0.050943397959486214,0.042483919002247905,0.04248811585367984,0.04248811585367984,0.043,0.04,0.0975,0.11162068965517241,0.1403747323340471,,,0.0014000000000000679,0.0021999999999999797,0.0,0.0012999999999998568
2017-04-01,15,0.036390783792231485,0.04645129397218417,0.04154802321461504,0.041346402465150645,0.041346402465150645,0.040999999999999995,0.04,0.0975,0.10958999999999999,0.138241,59.47,,0.006000000000000005,0.0017000000000000348,0.0016000000000000458,0.0033000000000000806
2017-05-01,16,0.03866243839454597,0.04363769260420525,0.04040756649001187,0.04093156473884241,0.04093156473884241,0.040999999999999995,0.04,0.0925,0.102704,0.121231,62.050000000000004,,0.005900000000000016,0.0015000000000000568,0.0034999999999998366,0.0037000000000000366
2017-06-01,17,0.04799919623069315,0.04000168630904799,0.04164910296553703,0.04352455887181006,0.04352455887181006,0.044000000000000004,0.04,0.09,0.103398,0.1244,58.62,,0.010199999999999987,0.001100000000000101,0.006800000000000139,0.006099999999999994
2017-07-01,18,0.03824890358869082,0.03699679949994539,0.04103425843845465,0.038646335849433555,0.038646335849433555,0.039,0.04,0.09,0.10692399999999999,0.11900000000000001,57.58595093815384,,-0.009700000000000042,0.0007999999999999119,0.015900000000000025,0.0006999999999999229
2017-08-01,19,0.025611531359113426,0.03420834082187585,0.04144930249643908,0.03293435220062668,0.03293435220062668,0.033,0.04,0.09,0.09527,0.113049,54.85557474615315,,-0.018000000000000016,0.0014000000000000679,0.0037000000000000366,-0.005400000000000071
2017-09-01,20,0.019757349776150512,0.031020148840424255,0.04176145634872053,0.02963457190009544,0.02963457190009544,0.03,0.04,0.085,0.09555899999999999,0.11228999999999999,52.454932959948245,,-0.007099999999999884,0.0024999999999999467,0.0012000000000000899,-0.0015000000000000568
2017-10-01,21,0.015709890558940343,0.028558990736965217,0.042388142606800905,0.027276551870851318,0.027276551870851318,0.027000000000000003,0.04,0.0825,0.09849999999999999,0.112321,,,0.0038000000000000256,0.0029999999999998916,-0.0020000000000000018,0.0020000000000000018
2017-11-01,22,0.010465955460740473,0.027432420100889754,0.043221719690053284,0.025026443931667863,0.025026443931667863,0.025,0.04,0.0825,0.086866,0.10372400000000001,55.40471644042579,,0.0020000000000000018,0.0031999999999998696,0.0012000000000000899,0.0021999999999999797
2017-12-01,23,0.010666883270535443,0.0275348560350972,0.043741925992880626,0.025230632466315406,0.025230632466315406,0.025,0.04,0.0775,0.087425,0.10046799999999999,55.17214611006217,,0.006000000000000005,0.0031000000000001027,0.0031999999999998696,0.0041999999999999815
2018-01-01,24,0.007159363100534,0.025796218376831437,0.03927660882864892,0.02207200102063256,0.02207200102063256,0.022000000000000002,0.04,0.0775,0.08879300000000001,0.099155,47.592255688411306,75.0,0.004999999999999893,0.0029999999999998916,0.0007999999999999119,0.0031000000000001027
2018-02-01,25,0.008667086697989435,0.025079594272176875,0.0376184092134455,0.02197001818277422,0.02197001818277422,0.022000000000000002,0.04,0.075,0.084402,0.09432800000000001,48.00000000000001,72.8021978021978,0.0034999999999998366,0.0012999999999998568,0.0012000000000000899,0.0020999999999999908
2018-03-01,26,0.012595388713290356,0.02446589665038168,0.0388635513045017,0.023603047274048494,0.023603047274048494,0.024,0.04,0.0725,0.084687,0.092176,49.27421618330802,75.0,0.005300000000000082,0.0016000000000000458,0.0012000000000000899,0.0029000000000001247
2018-04-01,27,0.010884243424212237,0.026511351170997344,0.040523077744284874,0.02411316540784414,0.02411316540784414,0.024,0.04,0.0725,0.07814499999999999,0.082918,51.014297816499045,78.37078651685393,0.0042999999999999705,0.0037000000000000366,0.0031999999999998696,0.0038000000000000256
2018-05-01,28,0.004352035866544979,0.033993660570446727,0.04052307774428465,0.02421519919935622,0.02421519919935622,0.024,0.04,0.0725,0.085564,0.091921,62.00000000000001,81.72043010752688,-0.0006000000000000449,0.008799999999999919,0.0034999999999998366,0.0038000000000000256
2018-06-01,29,-0.0020109150635142514,0.03709223312235066,0.04114317493006814,0.022993592759599446,0.022993592759599446,0.023,0.04,0.0725,0.098368,0.105779,60.0,80.91397849462365,0.0038000000000000256,0.0040999999999999925,0.007399999999999851,0.004899999999999904
2018-07-01,30,0.004438777094007307,0.03750673841136831,0.03796614585015523,0.02503814875592103,0.02503814875592103,0.025,0.04,0.0725,0.09681800000000002,0.102548,51.2,76.84210526315789,-0.0032999999999999696,0.0012000000000000899,0.012799999999999923,0.0026999999999999247
2018-08-01,31,0.01896324820880868,0.03833558341908638,0.03693200602167046,0.030706467495271283,0.030706467495271283,0.031,0.04,0.0725,0.099011,0.103783,59.00000000000001,79.52127659574468,-0.0037999999999999146,0.0021999999999999797,0.0026999999999999247,9.999999999998899e-05
2018-09-01,32,0.02542862081804964,0.03947490425874878,0.038174833036478395,0.03390645752955801,0.03390645752955801,0.034,0.04,0.075,0.100697,0.10196300000000001,57.2,80.31914893617021,-0.0008000000000000229,0.0036000000000000476,0.0023999999999999577,0.0016000000000000458
2018-10-01,33,0.02716525028147876,0.04102945296900651,0.03963119051769204,0.035454221687536425,0.035454221687536425,0.035,0.04,0.075,0.093386,0.10143,61.800000000000004,82.44680851063829,0.00550000000000006,0.0044999999999999485,-0.0006000000000000449,0.0034999999999998366
2018-11-01,34,0.03526365894138306,0.04175584911840624,0.03838512836365515,0.038347129111927725,0.038347129111927725,0.038,0.04,0.075,0.098309,0.10052699999999999,64.19464772458625,87.23958333333333,0.00990000000000002,0.0039000000000000146,0.0,0.004999999999999893
2018-12-01,35,0.046583639307541835,0.0410288736479818,0.039420201258755005,0.04268994721815145,0.04268994721815145,0.043,0.04,0.0775,0.102363,0.10205299999999999,67.10000000000001,89.0625,0.017000000000000126,0.0023999999999999577,0.0041999999999999815,0.008399999999999963
2019-01-01,36,0.05460224032512184,0.04455778508407682,0.05032538922160179,0.0499662204018092,0.0499662204018092,0.05,0.04,0.0775,0.103632,0.10071400000000001,66.60000000000001,84.73684210526316,0.012699999999999934,0.006399999999999961,0.011299999999999866,0.010099999999999998
2019-02-01,37,0.059226305952855496,0.045913947193943816,0.05116464242912966,0.05237608199937882,0.05237608199937882,0.052000000000000005,0.04,0.0775,0.10136300000000001,0.105671,62.0,78.80434782608695,0.007900000000000018,0.0026000000000001577,0.0020000000000000018,0.0043999999999999595
2019-03-01,38,0.059226305952855496,0.046853766036270006,0.051269632904801465,0.05269088190425397,0.05269088190425397,0.053,0.04,0.0775,0.09140599999999999,0.100129,63.7,80.43478260869566,0.005300000000000082,0.0024999999999999467,0.0012999999999998568,0.0031999999999998696
2019-04-01,39,0.059226305952855496,0.0449763756020114,0.05011692497398479,0.051747046684375686,0.051747046684375686,0.052000000000000005,0.04,0.0775,0.09390000000000001,0.105483,59.400000000000006,77.71739130434783,0.0042999999999999705,0.0019000000000000128,0.0020999999999999908,0.0029000000000001247
2019-05-01,40,0.06420765840230347,0.038036108238278965,0.0505355067079063,0.05132794046931899,0.05132794046931899,0.051,0.04,0.0775,0.092639,0.104213,60.5,77.68817204301075,0.0040999999999999925,0.0020999999999999908,0.0039000000000000146,0.0034000000000000696
2019-06-01,41,0.055090119189054265,0.03555499414628449,0.049075560599716184,0.04662003348144772,0.04662003348144772,0.047,0.04,0.075,0.094292,0.102392,60.5,78.57142857142857,-0.0048000000000000265,0.0017000000000000348,0.006000000000000005,0.00039999999999995595
2019-07-01,42,0.055407694222420645,0.036072151055067,0.04545020074377293,0.04588937224335354,0.04588937224335354,0.046,0.04,0.0725,0.093712,0.09904299999999999,58.7,80.16304347826087,-0.0030000000000000027,0.0017000000000000348,0.009300000000000086,0.0020000000000000018
2019-08-01,43,0.04979269645151252,0.03555525215711475,0.04451182916636265,0.04327491025894359,0.04327491025894359,0.043,0.04,0.0725,0.091104,0.10026600000000001,56.4,77.71739130434783,-0.009099999999999997,0.0017000000000000348,0.0018000000000000238,-0.0023999999999999577
2019-09-01,44,0.04601041692066277,0.03380112309307859,0.039614377453391914,0.03994176358080037,0.03994176358080037,0.04,0.04,0.07,0.08894099999999999,0.098667,55.1,80.16304347826087,-0.0043999999999999595,0.0019000000000000128,-0.0023000000000000798,-0.0015999999999999348
2019-10-01,45,0.04216134825571283,0.032360285290858215,0.03836609122871337,0.03766187132382215,0.03766187132382215,0.038,0.04,0.065,0.08612199999999999,0.093618,56.699999999999996,81.45161290322581,0.0018000000000000238,0.0031000000000001027,-0.0018000000000000238,0.0012999999999998568
2019-11-01,46,0.03658884475974222,0.03071492573665413,0.039508293929064964,0.03539037270002887,0.03539037270002887,0.035,0.04,0.065,0.082566,0.086797,50.300000000000004,78.42105263157895,0.0044999999999999485,0.0022999999999999687,0.001100000000000101,0.0027999999999999137
2019-12-01,47,0.02588660004983301,0.029686678604035732,0.037645004814274685,0.030461898097727813,0.030461898097727813,0.03,0.04,0.0625,0.09021900000000001,0.093827,52.4,81.64893617021276,0.00649999999999995,0.0014000000000000679,0.0023999999999999577,0.0036000000000000476
2020-01-01,48,0.020011076913377446,0.025491810378403645,0.028513154183554823,0.02423893247214992,0.02423893247214992,,0.04,,0.082594,0.085658,,79.12087912087912,0.006899999999999906,0.0022999999999999687,0.0023999999999999577,0.0040000000000000036
2020-02-01,49,0.01778464138484326,0.02324157899716206,0.030258136580872286,0.023117205246224515,0.023117205246224515,,0.04,,0.079343,0.087466,,80.55555555555556,0.005700000000000038,0.00039999999999995595,0.0037000000000000366,0.0033000000000000806
2020-03-01,50,0.02213804231785277,0.025589165662192936,0.029846568364920723,0.025462868695254715,0.025462868695254715,,0.04,,0.07888099999999999,0.083108,,85.1063829787234,0.009599999999999831,0.0048000000000001375,0.0009000000000001229,0.00550000000000006
2020-04-01,51,0.03526716782407657,0.028148276266200645,0.028921648784511422,0.030984355873391767,0.030984355873391767,,0.04,,,,,85.32608695652173,0.017199999999999882,0.0043999999999999595,0.0012000000000000899,0.008299999999999974
2020-05-01,52,0.0326895680635344,0.028558673742008267,0.029639095894929968,0.030265112252591653,0.030265112252591653,,0.04,,,,,80.85106382978724,0.0016000000000000458,0.0024999999999999467,0.0045999999999999375,0.0026999999999999247
2020-06-01,53,0.03943442557198806,0.030304255997535057,0.02472630498012318,0.03211884796036313,0.03211884796036313,,0.04,,,,,78.45744680851064,0.0017000000000000348,0.0034000000000000696,0.0012000000000000899,0.0021999999999999797
2020-07-01,54,0.04183231842937607,0.03153852285108116,0.025335475477485714,0.033663936056111954,0.033663936056111954,,0.04,,,,,80.91397849462365,-0.0006999999999999229,0.0029000000000001247,0.00990000000000002,0.0034999999999998366
2020-08-01,55,0.04330427851192842,0.03401001377135926,0.027280112534191048,0.03573623745157284,0.03573623745157284,,0.04,,0.088231,0.091901,,81.45161290322581,-0.007699999999999929,0.0040999999999999925,0.0037000000000000366,-0.00040000000000006697
2020-09-01,56,0.043618653043420386,0.037828595516996355,0.025323780757289027,0.036669893915622254,0.036669893915622254,,0.04,,0.089478,0.094193,,81.98924731182795,-0.0040999999999999925,0.005600000000000049,-0.0041999999999999815,-0.0006999999999999229
2020-10-01,57,0.048202324508175076,0.04165669421444762,0.02583736710309026,0.03977586583387516,0.03977586583387516,,0.04,,0.09667999999999999,0.09614,,83.24742268041237,0.006199999999999983,0.006800000000000139,-0.0012999999999999678,0.0042999999999999705
2020-11-01,58,0.05748953275916846,0.045294126549826785,0.025222540991550746,0.04423441811058604,0.04423441811058604,,0.04,,0.10120699999999999,0.10734199999999999,,85.37234042553192,0.013400000000000079,0.005800000000000027,0.0004999999999999449,0.007099999999999884
2020-12-01,59,0.06673534288165262,0.04800809172760734,0.02706352320801586,0.04912471480759639,0.04912471480759639,,0.04,,0.11506999999999999,0.119545,,80.3763440860215,0.015300000000000091,0.0040000000000000036,0.0041999999999999815,0.008299999999999974
2021-01-01,60,0.07012550386806815,0.05114490134068039,0.0284979694694798,0.05194606613227837,0.05194606613227837,0.052000000000000005,0.04,0.0425,0.10483599999999998,0.12821300000000002,66.4,78.72340425531915,0.010099999999999998,0.005300000000000082,0.0038000000000000256,0.006699999999999928
2021-02-01,61,0.07704189620687907,0.056818814242759474,0.029215264058130463,0.05666425341185066,0.05666425341185066,0.057,0.04,0.0425,0.098636,0.122852,68.3,83.69565217391305,0.012199999999999989,0.005800000000000027,0.0043999999999999595,0.007800000000000029
